柏***1,2016-12-27 13:52:37,【超柔版】女黑色,XXXL,卖家信誉很好，买了很多次了，特别实用，然后面料特别舒服，父母特别喜欢，保暖性好。
柏***1,2016-12-27 13:52:37,【超柔版】男酒红,XXXL,卖家信誉很好，买了很多次了，特别实用，然后面料特别舒服，父母特别喜欢，保暖性好。
芳***i,2016-12-27 13:51:47,【超柔版】女黑色,L,黑色的掉色好严重咯。。。。
柏***1,2016-12-27 13:51:43,【超柔版】女黑色,XXL,挺好的，一起给父母买的，一次够买了5件的，还用了特别舒适，还会在你家购买。
看***奋,2016-12-27 13:51:39,【超柔版】男浅灰,XL,和描述一致，质量不错，没有色差。老爸很喜欢！
t***9,2016-12-27 13:47:08,【超柔版】女黑色,XXL,给婆婆买的，说穿起来很暖和，在外面加一件衣服就可以过冬了?
新***馆,2016-12-27 13:44:24,【超柔版】女红色,L,不错，值得拥有
a***8,2016-12-27 13:41:26,[升级版]女中国红,XL,宝贝很好，穿着很暖和，喜欢的亲赶紧买吧，物流超快。。
c***p,2016-12-27 13:40:10,[升级版]男浅灰,XXL,好评！
米***彤,2016-12-27 13:38:47,【超柔版】男酒红,XL,衣服收到！质量很好！不掉色！给老公买的！他很喜欢
静***神,2016-12-27 13:38:14,[升级版]男深灰,XL,买来给老爸穿的，挺暖和
雪***护,2016-12-27 13:37:38,【尊享版】男浅灰,XL,很不错 很贴身 不松垮垮的 只比加厚的薄一点点 不对比也感觉不出来
睡***包,2016-12-27 13:37:16,【超柔版】男深灰,XL,客服不行，需要调教
永***白,2016-12-27 13:36:56,[升级版]男藏青,XXL,内衣很不错，就是物流很坑，发什么邮政！去个快递麻烦死了
t***7,2016-12-27 13:36:48,【超柔版】男酒红,XXXL,满意。
2***凤,2016-12-27 13:36:20,【超柔版】男藏青,L,给老公买的，质量真心不错
0***0,2016-12-27 13:35:04,[升级版]男深灰,XXL,此用户没有填写评论!
t***9,2016-12-27 13:32:24,【尊享版】男深灰,XXXL,一般
麦***l,2016-12-27 13:31:28,[升级版]女中国红,M,好评
a***a,2016-12-27 13:30:41,【尊享版】男深灰,L,好评
熊***狸,2016-12-27 13:28:09,【尊享版】女黑色,XL,挺厚实的，也很合身
j***3,2016-12-27 13:27:27,[升级版]男深灰,XXXXXL,此用户没有填写评论!
t***0,2016-12-27 13:26:58,【尊享版】女黑色,M,第二次来买了，加绒保暖内衣真的是御寒神器，不仅显瘦而且保暖，南极人一直都是我喜欢的品牌，以后还会继续支持
s***道,2016-12-27 13:23:13,【超柔版】男藏青,XXL,不错，穿点很舒服
i***d,2016-12-27 13:21:58,【尊享版】男藏青,XXXXXL,裤腿和袖子短了一塌糊涂，一洗更缩得跟个王8似的。
起***店,2016-12-27 13:21:58,【尊享版】男浅灰,XXL,好
人***你,2016-12-27 13:20:13,【尊享版】男浅灰,L,确实还不错 下次再买一件
伟***爷,2016-12-27 13:20:00,【超柔版】男藏青,L,挺好的
s***1,2016-12-27 13:19:13,【尊享版】男浅灰,XL,衣服偏大，客服建议XXL，我选择XL 回来穿着还有点大。
t***0,2016-12-27 13:17:48,【超柔版】男藏青,L,买的衣服洗了一次就直接扔掉了，上面粘的毛怎么弄都弄不掉，恶心死了！！！！！太不值了
小***希,2016-12-27 13:16:46,[升级版]女魅力黑,M,送人的，应该不错吧。
小***希,2016-12-27 13:16:46,[升级版]男藏青,L,送人的，应该不错吧。
潇***儿,2016-12-27 13:16:42,【尊享版】男藏青,L,很厚实
1***s,2016-12-27 13:16:39,【尊享版】男深灰,XL,宝贝已经收到了,感谢店家，感谢快递小哥
x***1,2016-12-27 13:16:30,【尊享版】男藏青,XXL,收到宝贝了，穿在身上很合适，也很暖和，到底是正宗的南极人品牌，质量杠杠滴！
封***泉,2016-12-27 13:16:08,【尊享版】男酒红,XL,垃圾。还会掉毛。没我以前买的好。
w***o,2016-12-27 13:14:46,【尊享版】男深灰,XXXL,不错
燕***b,2016-12-27 13:13:14,【尊享版】男深灰,L,好评
1***j,2016-12-27 13:07:22,[升级版]男深灰,XL,之前给老公买的大了，重新买一套。
l***6,2016-12-27 13:07:01,【超柔版】女黑色,M,不错，挺厚的
l***6,2016-12-27 13:07:01,【尊享版】女紫色,M,还好吧，一般般
王***3,2016-12-27 13:06:02,【尊享版】男酒红,XL,衣服还可以质量不错
王***3,2016-12-27 13:06:02,[升级版]男深灰,XL,为什么不支持上图片 衣服质量不错。
燃***e,2016-12-27 13:05:33,【超柔版】男深灰,XXXXXL,衣服看起来不错，摸起来很舒服，值得一买
h***4,2016-12-27 13:05:11,【超柔版】女黑色,XL,可以啊！
周***6,2016-12-27 13:01:38,[升级版]女魅力黑,XXL,衣服不错，修身保暖，很喜欢
t***1,2016-12-27 13:01:07,【尊享版】男藏青,XXXL,还可以
艾***8,2016-12-27 13:01:06,【超柔版】男藏青,XL,老公说有点厚了?
吴***0,2016-12-27 13:00:18,【尊享版】女红色,XXL,和第一次买的质量不一样了 变薄了 失望
孟***5,2016-12-27 13:00:07,【超柔版】男浅灰,XXL,发货速度很快，衣服穿上大小正好，穿着很舒服，挺保暖的，再买一套换着穿！！
d***3,2016-12-27 12:59:52,[升级版]男浅灰,XL,很好，比双十二99抢的质量好多了，真后悔没有早抢到！
